course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,Full-Stack Interview Prep,NA,"In this course, you’ll learn how to use Firebase. Firebase is app development platform that provides developers a variety of tools and a scalable infrastructure to build high quality apps."
https://in.udacity.com/course/intro-to-relational-databases--ud197,Scalable Microservices with Kubernetes,NA,"This course is a quick, fun introduction to using a relational database from your code, using examples in Python. You'll learn the basics of SQL (the Structured Query Language) and database design, as well as the Python API for connecting Python code to a database. You'll also learn a bit about protecting your database-backed web apps from common security problems."
https://in.udacity.com/course/reinforcement-learning--ud600,Responsive Web Design Fundamentals,NA,"You should take this course if you have an interest in machine learning and the desire to engage with it from a theoretical perspective. Through a combination of classic papers and more recent work, you will explore automated decision-making from a computer-science perspective. You will examine efficient algorithms, where they exist, for single-agent and multi-agent planning as well as approaches to learning near-optimal decisions from experience. At the end of the course, you will replicate a result from a published paper in reinforcement learning."
https://in.udacity.com/course/version-control-with-git--ud123,Linux Command Line Basics,NA,"This course covers the essentials of using the version control system Git. You'll be able to create a new Git repo, commit changes, and review the commit history of an existing repo. You'll also learn how to keep your commits organized using tags and branches and you'll master the art of merging changes by crushing those pesky merge conflicts. Oh no! Was a mistake made along the way? Learn how to edit commits, revert changes, or even delete commits."
https://in.udacity.com/course/website-performance-optimization--ud884,Introduction to Computer Vision,NA,You will learn how to optimize any website for speed by diving into the details of how mobile and desktop browsers render pages.
https://in.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,Machine Learning,NA,"The Apache™ Hadoop® project develops open-source software for reliable, scalable, distributed computing. Learn the fundamental principles behind it, and how you can use its power to make sense of your Big Data."
https://in.udacity.com/course/kotlin-for-android-developers--ud888,C++ For Programmers,NA,"In this course, Aaron Sarazan, Lead Software Engineer at Capital One and a leading advocate for Kotlin, demonstrates how to take a basic Android app in Java and convert it to Kotlin, teaching you key features of the Kotlin programming language along the way. This is an efficient, fast-paced introduction to Kotlin for experienced Java programmers."
https://in.udacity.com/course/artificial-intelligence-for-robotics--cs373,Front-End Interview Prep,NA,"Learn how to program all the major systems of a robotic car from the leader of Google and Stanford's autonomous driving teams. This class will teach you basic methods in Artificial Intelligence, including: probabilistic inference, planning and search, localization, tracking and control, all with a focus on robotics. Extensive programming examples and assignments will apply these methods in the context of building self-driving cars."
https://in.udacity.com/course/introduction-to-operating-systems--ud923,Front-End Interview Prep,NA,"Introduction to Operating Systems is a graduate-level introductory course in operating systems. This course teaches the basic operating system abstractions, mechanisms, and their implementations. The core of the course contains concurrent programming (threads and synchronization), inter process communication, and an introduction to distributed operating systems. The course is split into four sections: (1) Introduction, (2) Process and Thread Management, (3) Resource Management and Communication, and (4) Distributed Systems."
https://in.udacity.com/course/networking-for-web-developers--ud256,Machine Learning for Trading,NA,How does the Web work? Under the hood of HTTP there's a whole stack of networking protocols.
https://in.udacity.com/course/full-stack-foundations--ud088,Intro to Algorithms,NA,In this course you will learn the fundamentals of back-end web development! You will create your own web application that queries a database for items on restaurant menus and then dynamically generates complete menus in the form of web pages and API endpoints.
